typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","380","ITA","Italy","X","Export","0","W00","World","0","W00","World","H6","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","42007","false","5","u","42007","false","55129059","false","0","false",,"1024741722.714","1024741722.714","0","false","true",
"C","A","20240101","2024","52","2024","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H6","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","205892","false","5","u","205892","false","384056894.192","true","0","false",,"6717840340.938","6717840340.938","4","false","true",
"C","A","20240101","2024","52","2024","398","KAZ","Kazakhstan","X","Export","0","W00","World","0","W00","World","H6","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","216","false","5","u","216","false","500424","false","0","false",,"9157071.84","9157071.84","0","false","true",
"C","A","20240101","2024","52","2024","404","KEN","Kenya","X","Export","0","W00","World","0","W00","World","H6","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","5","u","4","false","8640","false","0","false",,"138985.275","138985.275","0","false","true",
"C","A","20240101","2024","52","2024","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H6","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","368492.302","true","8","kg","533463253.014","false","533463253.014","false","0","false",,"10102714067","10102714067","2","false","true",
"C","A","20240101","2024","52","2024","417","KGZ","Kyrgyzstan","X","Export","0","W00","World","0","W00","World","H6","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","117.949","true","8","kg","189929","false","189929","false","0","false",,"3233724","3233724","2","false","true",
"C","A","20240101","2024","52","2024","422","LBN","Lebanon","X","Export","0","W00","World","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","34.161","true","-1","N/A","0","false","55195.032","true","0","false",,"969774","969774","6","false","true",
"C","A","20240101","2024","52","2024","428","LVA","Latvia","X","Export","0","W00","World","0","W00","World","H6","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","522","false","5","u","522","false","996447","false","0","false",,"21903223.953","21903223.953","0","false","true",
"C","A","20240101","2024","52","2024","440","LTU","Lithuania","X","Export","0","W00","World","0","W00","World","H6","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","817","false","5","u","817","false","1520013.38","false","0","false",,"26074165","26074165","0","false","true",
"C","A","20240101","2024","52","2024","442","LUX","Luxembourg","X","Export","0","W00","World","0","W00","World","H6","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2531.429","false","5","u","2531.429","false","3765428.01","false","0","false",,"57950428.871","57950428.871","0","false","true",
